"","catch","year","a3_code"
"1",5215,1950,"TUX"
"2",15350,1951,"TUX"
"3",16593,1952,"TUX"
"4",16040,1953,"TUX"
"5",17772,1954,"TUX"
"6",19486,1955,"TUX"
"7",19896,1956,"TUX"
"8",19292,1957,"TUX"
"9",23680,1958,"TUX"
"10",21585,1959,"TUX"
"11",23108,1960,"TUX"
"12",39803,1961,"TUX"
"13",42986,1962,"TUX"
"14",44600,1963,"TUX"
"15",63064,1964,"TUX"
"16",59005,1965,"TUX"
"17",65777,1966,"TUX"
"18",77520,1967,"TUX"
"19",82275,1968,"TUX"
"20",86651,1969,"TUX"
"21",53092,1970,"TUX"
"22",67571,1971,"TUX"
"23",86116,1972,"TUX"
"24",123372,1973,"TUX"
"25",90487,1974,"TUX"
"26",80742,1975,"TUX"
"27",103566,1976,"TUX"
"28",89482,1977,"TUX"
"29",132856,1978,"TUX"
"30",121164,1979,"TUX"
"31",130139,1980,"TUX"
"32",120161,1981,"TUX"
"33",129889,1982,"TUX"
"34",115137,1983,"TUX"
"35",116096,1984,"TUX"
"36",140943,1985,"TUX"
"37",144497,1986,"TUX"
"38",176215,1987,"TUX"
"39",192660,1988,"TUX"
"40",177378,1989,"TUX"
"41",185085,1990,"TUX"
"42",174448,1991,"TUX"
"43",199979,1992,"TUX"
"44",198869,1993,"TUX"
"45",175343,1994,"TUX"
"46",215692,1995,"TUX"
"47",221359,1996,"TUX"
"48",234516,1997,"TUX"
"49",240321,1998,"TUX"
"50",234430,1999,"TUX"
"51",135139,2000,"TUX"
"52",127614,2001,"TUX"
"53",88864,2002,"TUX"
"54",117559,2003,"TUX"
"55",146364,2004,"TUX"
"56",115244,2005,"TUX"
"57",145890,2006,"TUX"
"58",152991,2007,"TUX"
"59",148151,2008,"TUX"
"60",192570,2009,"TUX"
"61",2079877,1950,"COD"
"62",2204490,1951,"COD"
"63",2467216,1952,"COD"
"64",2324815,1953,"COD"
"65",2702903,1954,"COD"
"66",2913340,1955,"COD"
"67",3053834,1956,"COD"
"68",2545954,1957,"COD"
"69",2558462,1958,"COD"
"70",2475684,1959,"COD"
"71",2674960,1960,"COD"
"72",2888949,1961,"COD"
"73",3013837,1962,"COD"
"74",2967350,1963,"COD"
"75",2664825,1964,"COD"
"76",2761304,1965,"COD"
"77",2876044,1966,"COD"
"78",3201009,1967,"COD"
"79",3939642,1968,"COD"
"80",3644923,1969,"COD"
"81",3106122,1970,"COD"
"82",2830436,1971,"COD"
"83",2727559,1972,"COD"
"84",2538648,1973,"COD"
"85",2811024,1974,"COD"
"86",2434278,1975,"COD"
"87",2382209,1976,"COD"
"88",2271320,1977,"COD"
"89",2127147,1978,"COD"
"90",2039820,1979,"COD"
"91",2209416,1980,"COD"
"92",2346989,1981,"COD"
"93",2254716,1982,"COD"
"94",2072908,1983,"COD"
"95",2009387,1984,"COD"
"96",1963379,1985,"COD"
"97",2038669,1986,"COD"
