"",".id","parentName","parentTsn","rankName","taxonName","tsn"
"1","Pterois antennata","","","Kingdom","Animalia","202423"
"2","Pterois antennata","Animalia","202423","Phylum","Chordata","158852"
"3","Pterois antennata","Chordata","158852","Subphylum","Vertebrata","331030"
"4","Pterois antennata","Vertebrata","331030","Superclass","Osteichthyes","161030"
"5","Pterois antennata","Osteichthyes","161030","Class","Actinopterygii","161061"
"6","Pterois antennata","Actinopterygii","161061","Subclass","Neopterygii","553120"
"7","Pterois antennata","Neopterygii","553120","Infraclass","Teleostei","161105"
"8","Pterois antennata","Teleostei","161105","Superorder","Acanthopterygii","166082"
"9","Pterois antennata","Acanthopterygii","166082","Order","Scorpaeniformes","166702"
"10","Pterois antennata","Scorpaeniformes","166702","Suborder","Scorpaenoidei","166703"
"11","Pterois antennata","Scorpaenoidei","166703","Family","Scorpaenidae","166704"
"12","Pterois antennata","Scorpaenidae","166704","Genus","Pterois","166882"
"13","Pterois antennata","Pterois","166882","Species","Pterois antennata","166886"
"14","Calappa angusta","","","Species","Calappa angusta","98346"
"15","Cystophora cristata","","","Kingdom","Animalia","202423"
"16","Cystophora cristata","Animalia","202423","Phylum","Chordata","158852"
"17","Cystophora cristata","Chordata","158852","Subphylum","Vertebrata","331030"
"18","Cystophora cristata","Vertebrata","331030","Class","Mammalia","179913"
"19","Cystophora cristata","Mammalia","179913","Subclass","Theria","179916"
"20","Cystophora cristata","Theria","179916","Infraclass","Eutheria","179925"
"21","Cystophora cristata","Eutheria","179925","Order","Carnivora","180539"
"22","Cystophora cristata","Carnivora","180539","Suborder","Caniformia","552303"
"23","Cystophora cristata","Caniformia","552303","Family","Phocidae","180640"
"24","Cystophora cristata","Phocidae","180640","Genus","Cystophora","180656"
"25","Cystophora cristata","Cystophora","180656","Species","Cystophora cristata","180657"
"26","Tosanoides filamentosus","","","Kingdom","Animalia","202423"
"27","Tosanoides filamentosus","Animalia","202423","Phylum","Chordata","158852"
"28","Tosanoides filamentosus","Chordata","158852","Subphylum","Vertebrata","331030"
"29","Tosanoides filamentosus","Vertebrata","331030","Superclass","Osteichthyes","161030"
"30","Tosanoides filamentosus","Osteichthyes","161030","Class","Actinopterygii","161061"
"31","Tosanoides filamentosus","Actinopterygii","161061","Subclass","Neopterygii","553120"
"32","Tosanoides filamentosus","Neopterygii","553120","Infraclass","Teleostei","161105"
"33","Tosanoides filamentosus","Teleostei","161105","Superorder","Acanthopterygii","166082"
"34","Tosanoides filamentosus","Acanthopterygii","166082","Order","Perciformes","167640"
"35","Tosanoides filamentosus","Perciformes","167640","Suborder","Percoidei","167641"
"36","Tosanoides filamentosus","Percoidei","167641","Family","Serranidae","167674"
"37","Tosanoides filamentosus","Serranidae","167674","Subfamily","Anthiinae","167675"
"38","Tosanoides filamentosus","Anthiinae","167675","Genus","Tosanoides","643110"
"39","Tosanoides filamentosus","Tosanoides","643110","Species","Tosanoides filamentosus","643419"
"40","Parachaenichthys georgianus","","","Kingdom","Animalia","202423"
"41","Parachaenichthys georgianus","Animalia","202423","Phylum","Chordata","158852"
"42","Parachaenichthys georgianus","Chordata","158852","Subphylum","Vertebrata","331030"
"43","Parachaenichthys georgianus","Vertebrata","331030","Superclass","Osteichthyes","161030"
"44","Parachaenichthys georgianus","Osteichthyes","161030","Class","Actinopterygii","161061"
"45","Parachaenichthys georgianus","Actinopterygii","161061","Subclass","Neopterygii","553120"
"46","Parachaenichthys georgianus","Neopterygii","553120","Infraclass","Teleostei","161105"
"47","Parachaenichthys georgianus","Teleostei","161105","Superorder","Acanthopterygii","166082"
"48","Parachaenichthys georgianus","Acanthopterygii","166082","Order","Perciformes","167640"
"49","Parachaenichthys georgianus","Perciformes","167640","Suborder","Notothenioidei","171099"
"50","Parachaenichthys georgianus","Notothenioidei","171099","Family","Bathydraconidae","171110"
"51","Parachaenichthys georgianus","Bathydraconidae","171110","Genus","Parachaenichthys","171115"
"52","Parachaenichthys georgianus","Parachaenichthys","171115","Species","Parachaenichthys georgianus","642595"
"53","Ventrifossa petersoni","","","Species","Ventrifossa petersoni","550658"
"54","Apogon semilineatus","","","Kingdom","Animalia","202423"
"55","Apogon semilineatus","Animalia","202423","Phylum","Chordata","158852"
"56","Apogon semilineatus","Chordata","158852","Subphylum","Vertebrata","331030"
"57","Apogon semilineatus","Vertebrata","331030","Superclass","Osteichthyes","161030"
"58","Apogon semilineatus","Osteichthyes","161030","Class","Actinopterygii","161061"
"59","Apogon semilineatus","Actinopterygii","161061","Subclass","Neopterygii","553120"
"60","Apogon semilineatus","Neopterygii","553120","Infraclass","Teleostei","161105"
"61","Apogon semilineatus","Teleostei","161105","Superorder","Acanthopterygii","166082"
"62","Apogon semilineatus","Acanthopterygii","166082","Order","Perciformes","167640"
"63","Apogon semilineatus","Perciformes","167640","Suborder","Percoidei","167641"
"64","Apogon semilineatus","Percoidei","167641","Family","Apogonidae","168196"
"65","Apogon semilineatus","Apogonidae","168196","Subfamily","Apogoninae","642031"
"66","Apogon semilineatus","Apogoninae","642031","Genus","Apogon","168197"
"67","Apogon semilineatus","Apogon","168197","Species","Apogon semilineatus","168261"
