plot_Year,plot_Month,plot_Name,subplot,quad,tree_Number,stemtype,species_Code,dbh,height,note
2009,3,PLT23,1,NE,1,S,QUEALB,17.5,17,This is a note
2009,3,PLT23,1,NW,2,S,CARTOM,20.2,18,null
2009,3,PLT23,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2009,3,PLT23,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2009,3,PLT23,2,NE,4,S,OXYARB,6.3,5,Final Note
2009,3,PLT26,1,NE,1,S,QUEALB,17.5,17,This is a note
2009,3,PLT26,1,NW,2,S,CARTOM,20.2,18,null
2009,3,PLT26,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2009,3,PLT26,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2009,3,PLT26,2,NE,4,S,OXYARB,6.3,5,Final Note
2009,3,PLT23,1,NE,1,S,QUEALB,17.5,17,This is a note
2009,3,PLT23,1,NW,2,S,CARTOM,20.2,18,null
2009,3,PLT23,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2009,3,PLT23,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2009,3,PLT23,2,NE,4,S,OXYARB,6.3,5,Final Note
2009,3,PLT26,1,NE,1,S,QUEALB,17.5,17,This is a note
2009,3,PLT26,1,NW,2,S,CARTOM,20.2,18,null
2009,3,PLT26,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2009,3,PLT26,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2009,3,PLT26,2,NE,4,S,OXYARB,6.3,5,Final Note
2009,3,PLT23,1,NE,1,S,QUEALB,17.5,17,This is a note
2009,3,PLT23,1,NW,2,S,CARTOM,20.2,18,null
2009,3,PLT23,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2009,3,PLT23,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2009,3,PLT23,2,NE,4,S,OXYARB,6.3,5,Final Note
2009,3,PLT26,1,NE,1,S,QUEALB,17.5,17,This is a note
2010,3,PLT26,1,NW,2,S,CARTOM,20.2,18,null
2010,3,PLT26,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2010,3,PLT26,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2010,3,PLT26,2,NE,4,S,OXYARB,6.3,5,Final Note
2010,3,PLT23,1,NE,1,S,QUEALB,17.5,17,This is a note
2010,3,PLT23,1,NW,2,S,CARTOM,20.2,18,null
2010,3,PLT23,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2010,3,PLT23,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2010,3,PLT23,2,NE,4,S,OXYARB,6.3,5,Final Note
2010,3,PLT26,1,NE,1,S,QUEALB,17.5,17,This is a note
2010,3,PLT26,1,NW,2,S,CARTOM,20.2,18,null
2010,3,PLT26,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2010,3,PLT26,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2010,3,PLT26,2,NE,4,S,OXYARB,6.3,5,Final Note
2010,3,PLT23,1,NE,1,S,QUEALB,17.5,17,This is a note
2010,3,PLT23,1,NW,2,S,CARTOM,20.2,18,null
2010,3,PLT23,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2010,3,PLT23,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2010,3,PLT23,2,NE,4,S,OXYARB,6.3,5,Final Note
2010,3,PLT26,1,NE,1,S,QUEALB,17.5,17,This is a note
2010,3,PLT26,1,NW,2,S,CARTOM,20.2,18,null
2010,3,PLT26,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2010,3,PLT26,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2010,3,PLT26,2,NE,4,S,OXYARB,6.3,5,Final Note
2010,3,PLT23,1,NE,1,S,QUEALB,17.5,17,This is a note
2010,3,PLT23,1,NW,2,S,CARTOM,20.2,18,null
2010,3,PLT23,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2010,3,PLT23,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2010,3,PLT23,2,NE,4,S,OXYARB,6.3,5,Final Note
2010,3,PLT26,1,NE,1,S,QUEALB,17.5,17,This is a note
2010,3,PLT26,1,NW,2,S,CARTOM,20.2,18,null
2010,3,PLT26,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2010,3,PLT26,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2010,3,PLT26,2,NE,4,S,OXYARB,6.3,5,Final Note
2011,3,PLT26,1,NW,2,S,CARTOM,20.2,18,null
2011,3,PLT26,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2011,3,PLT26,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2011,3,PLT26,2,NE,4,S,OXYARB,6.3,5,Final Note
2011,3,PLT23,1,NE,1,S,QUEALB,17.5,17,This is a note
2011,3,PLT23,1,NW,2,S,CARTOM,20.2,18,null
2011,3,PLT23,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2011,3,PLT23,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2011,3,PLT23,2,NE,4,S,OXYARB,6.3,5,Final Note
2011,3,PLT26,1,NE,1,S,QUEALB,17.5,17,This is a note
2011,3,PLT26,1,NW,2,S,CARTOM,20.2,18,null
2011,3,PLT26,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2011,3,PLT26,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2011,3,PLT26,2,NE,4,S,OXYARB,6.3,5,Final Note
2011,3,PLT23,1,NE,1,S,QUEALB,17.5,17,This is a note
2011,3,PLT23,1,NW,2,S,CARTOM,20.2,18,null
2011,3,PLT23,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2011,3,PLT23,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2011,3,PLT23,2,NE,4,S,OXYARB,6.3,5,Final Note
2011,3,PLT26,1,NE,1,S,QUEALB,17.5,17,This is a note
2011,3,PLT26,1,NW,2,S,CARTOM,20.2,18,null
2011,3,PLT26,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2011,3,PLT26,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2011,3,PLT26,2,NE,4,S,OXYARB,6.3,5,Final Note
2011,3,PLT23,1,NE,1,S,QUEALB,17.5,17,This is a note
2011,3,PLT23,1,NW,2,S,CARTOM,20.2,18,null
2011,3,PLT23,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2011,3,PLT23,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2011,3,PLT23,2,NE,4,S,OXYARB,6.3,5,Final Note
2011,3,PLT26,1,NE,1,S,QUEALB,17.5,17,This is a note
2011,3,PLT26,1,NW,2,S,CARTOM,20.2,18,null
2011,3,PLT26,2,NE,3.1,M,ACERUB,14.3,15,Final Note
2011,3,PLT26,2,SE,3.2,M,ACERUB,10.3,12,Final Note
2011,3,PLT26,2,NE,4,S,OXYARB,6.3,5,Final Note
